vib_x,vib_y,vib_z,temp,prediction,anomaly_score,is_anomaly,magnitude,prediction2,score2,is_anomaly2,temp_haute,prediction3,score3,is_anomaly3
-3.3,-5.33,5.88,34.69,1,-0.5703249693038718,False,8.594957824212985,-1,-0.6465292337191672,True,0.0,-1,-0.5911835730651428,True
-0.39,-4.59,9.41,34.69,1,-0.41342309167061503,False,10.477036794819421,1,-0.5233442939346792,False,0.0,1,-0.48017299087547777,False
0.2,-1.73,9.53,34.69,1,-0.4611939796080961,False,9.687817091584666,1,-0.42167085502497825,False,0.0,1,-0.3758388901860299,False
-0.16,-3.53,9.26,34.69,1,-0.41966036274670626,False,9.911311719444605,1,-0.3829636376290407,False,0.0,1,-0.35972590064267684,False
0.43,-1.61,9.45,34.63,1,-0.46120073063633343,False,9.59580637570392,1,-0.42862827355178157,False,0.0,1,-0.3920677459446632,False
0.12,-2.55,9.3,34.63,1,-0.4436928830592224,False,9.644008502692229,1,-0.41780140519328335,False,0.0,1,-0.3825102075049972,False
0.98,-2.28,9.38,34.69,1,-0.4560196476389196,False,9.702741880520167,1,-0.41551884308886283,False,0.0,1,-0.3754555161631863,False
0.39,-1.65,9.69,34.69,1,-0.47708788549691533,False,9.837209970311704,1,-0.38492198197367977,False,0.0,1,-0.36021217999209265,False
0.12,-1.65,9.61,34.69,1,-0.47145430467019067,False,9.7513588796639,1,-0.4035717245021105,False,0.0,1,-0.3693438804202825,False
0.39,-2.12,9.38,34.69,1,-0.4551421229771436,False,9.624494791935835,1,-0.4317847905679157,False,0.0,1,-0.38791708498602295,False
-0.08,-1.37,9.69,34.69,1,-0.4788991250279463,False,9.786695049913428,1,-0.3912793779056365,False,0.0,1,-0.3633077315066148,False
0.16,-0.9,9.65,34.69,1,-0.49079277543005545,False,9.693198646473721,1,-0.4175594086560494,False,0.0,1,-0.37570026504059395,False
0.27,-1.69,9.45,34.69,1,-0.461244890277419,False,9.60372323632871,1,-0.436330335894512,False,0.0,1,-0.39558247794502904,False
0.27,-1.02,9.53,34.69,1,-0.4792676967317183,False,9.588232370984757,1,-0.44103880644259064,False,0.0,1,-0.39964911376789486,False
0.43,-1.49,9.61,34.69,1,-0.47405085977485645,False,9.734325862636815,1,-0.40975907149652574,False,0.0,1,-0.369223615913873,False
-0.31,-1.69,9.57,34.63,1,-0.46923029171058034,False,9.723019078455005,1,-0.40111642900363037,False,0.0,1,-0.36790943343304877,False
-0.82,-0.9,9.57,34.63,1,-0.49733323360654863,False,9.647139472403206,1,-0.41794276845963385,False,0.0,1,-0.3817727484872686,False
-0.08,-1.41,9.49,34.63,1,-0.4651591005996833,False,9.5945088462099,1,-0.42862827355178157,False,0.0,1,-0.3920677459446632,False
-0.24,-1.77,9.06,34.56,1,-0.45968150366923877,False,9.234397652256481,1,-0.5379270524469735,False,0.0,1,-0.47680809371332655,False
0.04,-2.24,9.3,34.63,1,-0.45112514877142096,False,9.566044114470726,1,-0.43552791684485814,False,0.0,1,-0.4004290114806897,False
-0.08,-1.61,9.61,34.56,1,-0.47094584865836947,False,9.744259848751982,1,-0.3875767762409434,False,0.0,1,-0.35958576593325575,False
